stock_code,timestamp,open,high,low,close,volume,turnover
NVDA.US,2023-03-02,224.88,233.804,224.32,233.14,39007465,8946406725.0
NVDA.US,2023-03-03,233.2,239.0,231.3,238.9,41239330,9705477798.0
NVDA.US,2023-03-06,238.91,242.48,234.87,235.54,43742923,10429758457.0
NVDA.US,2023-03-07,236.0,241.25,232.41,232.88,51515388,12197091594.0
NVDA.US,2023-03-08,234.87,242.0,234.235,241.81,51357339,12260335942.0
NVDA.US,2023-03-09,241.75,244.54,233.828,234.36,50125699,11997230284.0
NVDA.US,2023-03-10,234.09,236.27,227.26,229.65,47486565,10971335276.0
NVDA.US,2023-03-13,227.52,232.98,222.97,229.66,42189032,9673019188.0
NVDA.US,2023-03-14,234.96,242.19,234.6,240.63,47491013,11359347367.0
NVDA.US,2023-03-15,237.61,242.86,233.6,242.28,52448574,12488872214.0
NVDA.US,2023-03-16,240.27,255.88,238.94,255.41,58494626,14607250647.0
NVDA.US,2023-03-17,259.82,263.99,256.68,257.25,84854656,21999230762.0
NVDA.US,2023-03-20,256.15,260.24,251.298,259.0,43274719,11118408806.0
NVDA.US,2023-03-21,261.8,263.92,253.81,261.99,54740776,14251784574.0
NVDA.US,2023-03-22,264.25,275.89,262.37,264.68,79729511,21512556821.0
NVDA.US,2023-03-23,271.155,274.99,266.9,271.91,56488876,15358214757.0
NVDA.US,2023-03-24,270.31,271.67,263.55,267.79,45541407,12138347262.0
NVDA.US,2023-03-27,268.37,270.0,263.65,265.31,36102574,9623009782.0
NVDA.US,2023-03-28,264.47,265.13,258.5,264.1,35610378,9321457089.0
NVDA.US,2023-03-29,268.25,270.78,265.97,269.84,39369387,10590141960.0
NVDA.US,2023-03-30,272.29,274.99,271.02,273.83,36451574,9961901099.0
NVDA.US,2023-03-31,271.4,278.343,271.05,277.77,43393277,11967390524.0
NVDA.US,2023-04-03,275.09,280.0,273.36,279.65,39871560,11043734734.0
NVDA.US,2023-04-04,279.66,280.0,273.07,274.53,36859153,10180096852.0
NVDA.US,2023-04-05,268.29,269.98,263.95,268.81,51501474,13743654974.0
NVDA.US,2023-04-06,265.84,270.8,264.27,270.37,39765434,10684109832.0
NVDA.US,2023-04-10,268.23,276.21,266.69,275.79,39527855,10791420502.0
NVDA.US,2023-04-11,277.235,277.9,271.26,271.69,31437817,8589343283.0
NVDA.US,2023-04-12,273.7,274.68,264.475,264.95,44625895,11952781963.0
NVDA.US,2023-04-13,267.34,268.869,263.29,264.63,35361528,9424741315.0
NVDA.US,2023-04-14,265.04,268.83,262.2,267.58,39566013,10514405921.0
NVDA.US,2023-04-17,265.655,270.06,264.332,270.02,32147130,8598170420.0
NVDA.US,2023-04-18,275.335,281.1,273.57,276.67,60481154,16784313760.0
NVDA.US,2023-04-19,273.61,280.0,272.32,279.31,35866041,9950614215.0
NVDA.US,2023-04-20,276.71,280.3,270.0,271.04,42771326,11767909979.0
NVDA.US,2023-04-21,269.52,271.83,267.22,271.19,34510277,9317757689.0
NVDA.US,2023-04-24,270.13,273.66,266.71,270.42,33928186,9163376548.0
NVDA.US,2023-04-25,270.78,272.47,262.25,262.41,37852716,10053281513.0
NVDA.US,2023-04-26,270.02,273.3,267.051,269.56,40633681,10989232843.0
NVDA.US,2023-04-27,273.63,274.95,266.25,272.26,37716119,10175317585.0
NVDA.US,2023-04-28,272.25,277.58,270.715,277.49,29221614,8027527506.0
NVDA.US,2023-05-01,278.4,290.584,277.8,289.1,57032853,16325231571.0
NVDA.US,2023-05-02,286.8,288.36,280.83,282.1,40272957,11419245034.0
NVDA.US,2023-05-03,278.4,283.67,274.72,278.02,38338740,10699661902.0
NVDA.US,2023-05-04,276.51,278.59,272.4,275.62,32185041,8873734493.0
NVDA.US,2023-05-05,278.255,287.55,277.31,286.8,36149408,10269434444.0
NVDA.US,2023-05-08,285.22,292.2,283.5,291.51,34497890,9955359779.0
NVDA.US,2023-05-09,288.99,289.73,284.5,285.71,31486946,9014823086.0
NVDA.US,2023-05-10,290.05,291.13,284.613,288.85,36934998,10657321052.0
NVDA.US,2023-05-11,288.96,289.5,282.46,285.78,32214903,9200551391.0
NVDA.US,2023-05-12,285.29,287.8,280.46,283.4,27422225,7768440295.0
NVDA.US,2023-05-15,285.085,289.69,281.52,289.53,29392587,8427895627.0
NVDA.US,2023-05-16,288.41,298.7,288.32,292.13,44940494,13224609433.0
NVDA.US,2023-05-17,295.84,301.99,294.3,301.78,43253541,12926554096.0
NVDA.US,2023-05-18,304.1,318.28,303.2,316.78,74872501,23465943698.0
NVDA.US,2023-05-19,315.36,315.8,309.16,312.64,47390765,14811125252.0
NVDA.US,2023-05-22,309.01,315.2,306.8,311.76,37199967,11609826587.0
NVDA.US,2023-05-23,310.0,312.88,306.31,306.88,35625326,11010641503.0
NVDA.US,2023-05-24,302.1,306.07,298.06,305.38,72141851,23200444033.0
NVDA.US,2023-05-25,385.23,394.8,366.35,379.8,154391067,59134592154.0
NVDA.US,2023-05-26,378.9,391.7,375.5,389.46,71439676,27526643737.0
NVDA.US,2023-05-30,405.95,419.38,399.49,401.11,92340110,37544496860.0
NVDA.US,2023-05-31,394.88,402.95,378.22,378.34,100258020,38675172711.0
NVDA.US,2023-06-01,384.89,400.5,383.4,397.7,63587295,24998776025.0
NVDA.US,2023-06-02,400.97,405.0,390.58,393.27,48273121,19096073181.0
NVDA.US,2023-06-05,389.09,395.65,387.07,391.71,39609381,15486599593.0
NVDA.US,2023-06-06,388.3,391.6,381.48,386.54,38872914,15049048272.0
NVDA.US,2023-06-07,389.15,394.99,373.56,374.75,51199789,19641473859.0
NVDA.US,2023-06-08,377.24,388.64,375.05,385.1,41777240,16023088203.0
NVDA.US,2023-06-09,390.37,397.11,385.67,387.7,42771747,16713392496.0
NVDA.US,2023-06-12,392.0,395.3,386.18,394.82,38967335,15217495251.0
NVDA.US,2023-06-13,401.86,411.01,397.4,410.22,61320816,24854752111.0
NVDA.US,2023-06-14,408.24,430.0,405.52,429.97,74046502,31079216699.0
NVDA.US,2023-06-15,426.02,432.89,421.47,426.53,56862204,24327567383.0
NVDA.US,2023-06-16,434.5,437.21,426.605,426.92,65570941,28328527312.0
NVDA.US,2023-06-20,429.98,439.9,426.74,438.08,45115311,19523247114.0
NVDA.US,2023-06-21,435.01,436.15,420.8,430.45,55160291,23644910024.0
NVDA.US,2023-06-22,422.53,434.255,422.34,430.25,41773743,17949024264.0
NVDA.US,2023-06-23,424.64,428.09,420.15,422.09,35813984,15182032102.0
NVDA.US,2023-06-26,424.61,427.64,401.0,406.32,59432192,24448541450.0
NVDA.US,2023-06-27,407.99,419.4,404.48,418.76,46217470,19063483614.0
NVDA.US,2023-06-28,406.6,418.45,405.18,411.17,58263927,23991375344.0
NVDA.US,2023-06-29,415.58,416.0,406.0,408.22,38051430,15590599270.0
NVDA.US,2023-06-30,416.8,425.5,415.01,423.02,50114775,21157772613.0
NVDA.US,2023-07-03,425.17,428.98,422.02,424.13,19820919,8425987160.0
NVDA.US,2023-07-05,421.35,431.77,420.85,423.17,32361756,13806969055.0
NVDA.US,2023-07-06,418.44,421.79,413.46,421.03,30413879,12717800955.0
NVDA.US,2023-07-07,423.22,432.14,421.8,425.03,35588147,15218981568.0
NVDA.US,2023-07-10,426.57,428.11,416.49,421.8,35390811,14910363263.0
NVDA.US,2023-07-11,424.81,427.58,420.67,424.05,29824406,12637987253.0
NVDA.US,2023-07-12,430.33,439.35,427.773,439.02,48127702,20982668119.0
NVDA.US,2023-07-13,445.18,461.55,444.92,459.77,47820369,21611693998.0
NVDA.US,2023-07-14,465.828,480.88,450.6,454.69,77207533,36016335539.0
NVDA.US,2023-07-17,462.89,464.96,452.624,464.61,51048822,23432081438.0
NVDA.US,2023-07-18,467.01,478.96,457.34,474.94,57019042,26742325267.0
NVDA.US,2023-07-19,474.64,478.18,467.42,470.77,42750179,20160741978.0
NVDA.US,2023-07-20,465.07,470.87,450.62,455.2,53786451,24708416993.0
NVDA.US,2023-07-21,457.88,458.66,441.0,443.09,96376863,42990742861.0
NVDA.US,2023-07-24,447.31,451.09,440.4,446.12,38309974,17098341949.0
NVDA.US,2023-07-25,449.41,461.825,449.23,456.79,34808091,15932604323.0
NVDA.US,2023-07-26,460.21,460.53,446.3,454.52,36423726,16506318504.0
NVDA.US,2023-07-27,465.19,473.95,457.5,459.0,45597552,21276365816.0
NVDA.US,2023-07-28,466.68,470.27,463.81,467.5,33119424,15468542891.0
NVDA.US,2023-07-31,467.54,471.3,465.06,467.29,25105528,11737928748.0
NVDA.US,2023-08-01,464.595,469.0,460.27,465.07,23927597,11125283626.0
NVDA.US,2023-08-02,458.31,458.4,433.87,442.69,53014157,23559549905.0
NVDA.US,2023-08-03,438.0,451.18,438.0,445.15,32507660,14506775384.0
NVDA.US,2023-08-04,449.85,456.42,443.93,446.8,36266618,16324150273.0
NVDA.US,2023-08-07,451.11,455.4,445.635,454.165,32215354,14534179504.0
NVDA.US,2023-08-08,448.53,452.42,440.56,446.64,35384343,15787785443.0
NVDA.US,2023-08-09,442.74,443.12,421.34,425.54,58644907,25203930435.0
NVDA.US,2023-08-10,421.6,435.74,418.35,423.88,49270530,20997288456.0
NVDA.US,2023-08-11,417.51,420.18,406.39,408.55,53308526,21953976521.0
NVDA.US,2023-08-14,404.86,438.0,403.11,437.53,69028583,29468840692.0
NVDA.US,2023-08-15,445.6,452.68,437.1,439.4,67651151,30024022985.0
NVDA.US,2023-08-16,445.2,446.75,434.06,434.86,52745068,23178582069.0
NVDA.US,2023-08-17,439.7,440.62,430.01,433.435,45239482,19683791120.0
NVDA.US,2023-08-18,426.35,435.78,416.6,432.99,58376787,24930443205.0
NVDA.US,2023-08-21,444.94,470.65,442.22,469.67,69257337,31715926179.0
NVDA.US,2023-08-22,481.35,481.87,453.331,456.68,75720691,35035692703.0
NVDA.US,2023-08-23,458.66,472.0,452.08,471.16,77904608,36985220358.0
NVDA.US,2023-08-24,502.16,502.66,471.59,471.63,115604409,55938991950.0
NVDA.US,2023-08-25,470.12,478.05,450.24,460.18,92534052,42652962541.0
NVDA.US,2023-08-28,464.82,469.8,448.88,468.35,68519223,31620774528.0
NVDA.US,2023-08-29,466.66,490.81,463.91,487.84,70139699,33907257950.0
NVDA.US,2023-08-30,490.44,499.27,484.25,492.64,73520598,36252611580.0
NVDA.US,2023-08-31,493.8,497.44,489.58,493.55,52856977,26131021742.0
NVDA.US,2023-09-01,497.62,498.0,481.416,485.09,46383030,22578898464.0
NVDA.US,2023-09-05,482.23,488.508,478.6,485.48,38265258,18541548236.0
NVDA.US,2023-09-06,484.41,485.49,465.8,470.61,46866957,22095981189.0
NVDA.US,2023-09-07,455.25,463.44,451.52,462.41,43332989,19859044770.0
NVDA.US,2023-09-08,459.42,466.06,452.71,455.72,47389994,21688882097.0
NVDA.US,2023-09-11,461.48,461.63,443.12,451.78,47396555,21299086353.0
NVDA.US,2023-09-12,447.38,456.73,445.31,448.7,34925634,15777953152.0
NVDA.US,2023-09-13,446.0,459.3,445.03,454.85,39835535,18090159919.0
NVDA.US,2023-09-14,459.5,459.87,451.31,455.81,37009720,16867570354.0
NVDA.US,2023-09-15,453.41,455.99,438.08,439.0,50683051,22460985173.0
NVDA.US,2023-09-18,427.48,442.42,420.0,439.66,50027079,21802059047.0
NVDA.US,2023-09-19,438.33,439.66,430.02,435.2,37306424,16211669793.0
NVDA.US,2023-09-20,436.0,439.03,422.23,422.39,36710769,15833667437.0
NVDA.US,2023-09-21,415.83,421.0,409.8,410.17,45073596,18674392647.0
NVDA.US,2023-09-22,415.72,421.15,412.31,416.1,47923631,19991574125.0
NVDA.US,2023-09-25,415.91,425.36,411.77,422.22,41909096,17642546803.0
NVDA.US,2023-09-26,420.01,428.2,416.55,419.11,40228209,16954513309.0
NVDA.US,2023-09-27,423.3,428.72,416.29,424.68,44493520,18794748858.0
NVDA.US,2023-09-28,424.6,434.463,421.15,430.89,42466279,18234861943.0
NVDA.US,2023-09-29,438.27,441.44,433.069,434.99,39782993,17386653139.0
NVDA.US,2023-10-02,440.3,451.75,438.61,447.82,43329821,19348145730.0
NVDA.US,2023-10-03,448.08,451.3,432.46,435.17,47084954,20723983493.0
NVDA.US,2023-10-04,437.42,441.43,432.92,440.41,36182086,15846658863.0
NVDA.US,2023-10-05,440.5,449.0,438.88,446.88,39348309,17492317563.0
NVDA.US,2023-10-06,441.93,457.89,440.26,457.62,43443602,19608252447.0
NVDA.US,2023-10-09,448.42,456.05,443.68,452.73,40967472,18417637547.0
NVDA.US,2023-10-10,453.1,462.59,450.88,457.98,36858208,16884130938.0
NVDA.US,2023-10-11,461.96,468.59,460.5,468.06,37813689,17561053003.0
NVDA.US,2023-10-12,467.77,476.09,463.3,469.45,48132500,22659773642.0
NVDA.US,2023-10-13,469.6,471.16,452.8,454.61,47542599,21868147613.0
NVDA.US,2023-10-16,450.63,462.25,449.12,460.95,37509924,17190491829.0
NVDA.US,2023-10-17,440.0,447.54,424.8,439.38,81233267,35638352551.0
NVDA.US,2023-10-18,425.91,432.19,418.25,421.96,62729434,26606013356.0
NVDA.US,2023-10-19,428.11,432.97,418.82,421.01,50123308,21333703586.0
NVDA.US,2023-10-20,418.9,424.7,410.78,413.87,47726605,19861449807.0
NVDA.US,2023-10-23,412.29,432.48,409.45,429.75,47853049,20320573625.0
NVDA.US,2023-10-24,430.77,436.97,426.91,436.63,40146337,17349208927.0
NVDA.US,2023-10-25,433.98,436.5,415.55,417.79,39837922,16888935341.0
NVDA.US,2023-10-26,418.53,422.556,398.802,403.26,54100132,22018937910.0
NVDA.US,2023-10-27,411.3,412.06,400.15,405.0,41678441,16912700321.0
NVDA.US,2023-10-30,410.87,417.66,404.81,411.61,38802814,15941558675.0
NVDA.US,2023-10-31,404.5,408.79,392.3,407.8,51796870,20813815884.0
NVDA.US,2023-11-01,408.84,423.81,408.69,423.25,43759290,18278360107.0
NVDA.US,2023-11-02,433.28,438.84,428.94,435.06,40917187,17746756689.0
NVDA.US,2023-11-03,440.2,453.09,437.23,450.05,42460959,18949271954.0
NVDA.US,2023-11-06,452.845,459.35,448.99,457.51,40073335,18235096080.0
NVDA.US,2023-11-07,457.19,462.18,451.575,459.55,34316547,15748217059.0
NVDA.US,2023-11-08,461.0,468.67,459.68,465.74,34671894,16104886353.0
NVDA.US,2023-11-09,474.67,482.3,467.5,469.5,54049597,25671508716.0
NVDA.US,2023-11-10,475.0,484.72,472.83,483.35,42244156,20268109552.0
NVDA.US,2023-11-13,483.2,491.16,480.99,486.2,38413570,18717156929.0
NVDA.US,2023-11-14,496.8,498.34,490.4,496.56,41695387,20652642148.0
NVDA.US,2023-11-15,499.35,499.6,482.0,488.88,47549735,23300751970.0
NVDA.US,2023-11-16,486.79,495.247,483.3,494.8,33975624,16640581585.0
NVDA.US,2023-11-17,495.24,497.17,490.07,492.98,32589691,16089209969.0
NVDA.US,2023-11-20,493.12,505.48,491.81,504.09,41614260,20789200872.0
NVDA.US,2023-11-21,501.26,505.17,492.22,499.44,56574687,28159410707.0
NVDA.US,2023-11-22,498.52,503.349,476.9,487.16,90064233,43956017882.0
NVDA.US,2023-11-24,484.7,489.21,477.45,477.76,29464464,14188128251.0
NVDA.US,2023-11-27,478.0,485.3,476.52,482.42,39566190,19064534828.0
NVDA.US,2023-11-28,482.36,483.229,474.73,478.21,40149085,19198222302.0
NVDA.US,2023-11-29,483.79,487.62,478.6,481.4,38200465,18428289685.0
NVDA.US,2023-11-30,480.24,481.1,464.22,467.7,52624663,24716435355.0
NVDA.US,2023-12-01,465.25,472.0,461.87,467.65,36931701,17263620912.0
NVDA.US,2023-12-04,460.77,460.77,450.1,455.1,43754344,19880383922.0
NVDA.US,2023-12-05,454.66,466.0,452.71,465.66,37171762,17156816500.0
NVDA.US,2023-12-06,472.145,473.87,454.12,455.03,38058955,17596915876.0
NVDA.US,2023-12-07,457.0,466.29,456.04,465.96,35082255,16233774825.0
NVDA.US,2023-12-08,465.95,477.409,465.5,475.06,35922370,17024570502.0
NVDA.US,2023-12-11,474.91,475.31,458.3,466.27,50972809,23718960295.0
NVDA.US,2023-12-12,460.46,476.66,460.46,476.57,37238686,17555968305.0
NVDA.US,2023-12-13,476.29,485.94,476.08,480.88,44779186,21573809689.0
NVDA.US,2023-12-14,483.9,486.7,474.22,483.5,39123174,18829631311.0
NVDA.US,2023-12-15,481.94,494.04,481.2,488.9,47994758,23488985018.0
NVDA.US,2023-12-18,494.0,504.33,491.5,500.77,41258717,20587107207.0
NVDA.US,2023-12-19,494.24,497.0,488.95,496.04,46444446,22903980456.0
NVDA.US,2023-12-20,496.55,499.99,480.98,481.11,39789439,19568384395.0
NVDA.US,2023-12-21,488.11,490.95,484.19,489.9,30042535,14643995406.0
NVDA.US,2023-12-22,491.95,493.83,484.67,488.3,25250676,12367445827.0
NVDA.US,2023-12-26,489.68,496.0,489.6,492.79,24419952,12052912163.0
NVDA.US,2023-12-27,495.11,496.8,490.85,494.17,23364798,11532553719.0
NVDA.US,2023-12-28,496.43,498.84,494.12,495.22,24658748,12241180112.0
NVDA.US,2023-12-29,498.13,499.97,487.51,495.22,38929330,19277711701.0
NVDA.US,2024-01-02,492.44,492.95,475.95,481.68,41125422,19767427708.0
NVDA.US,2024-01-03,474.85,481.841,473.2,475.69,32089617,15296377674.0
NVDA.US,2024-01-04,477.67,485.0,475.08,479.98,30653489,14741175919.0
NVDA.US,2024-01-05,484.62,495.47,483.06,490.97,41503927,20345014942.0
NVDA.US,2024-01-08,495.12,522.75,494.79,522.53,64250990,32984821330.0
NVDA.US,2024-01-09,524.01,543.25,516.9,531.4,77310006,41063650549.0
NVDA.US,2024-01-10,536.16,546.0,534.89,543.5,53379576,28912469124.0
NVDA.US,2024-01-11,549.99,553.46,535.6,548.22,59675877,32582872682.0
NVDA.US,2024-01-12,546.2,549.7,543.301,547.1,35299360,19298423549.0
NVDA.US,2024-01-16,550.18,568.35,549.0,563.82,44957973,25231270323.0
NVDA.US,2024-01-17,563.47,564.707,547.4,560.53,47439444,26410306124.0
NVDA.US,2024-01-18,572.6,576.0,561.07,571.07,49165036,28063074999.0
NVDA.US,2024-01-19,579.89,595.0,572.25,594.91,54350148,31817080805.0
NVDA.US,2024-01-22,600.49,603.31,590.7,596.54,45295463,27076151189.0
NVDA.US,2024-01-23,595.7,599.1,585.85,598.73,29465445,17523845217.0
NVDA.US,2024-01-24,603.04,628.49,599.38,613.62,56027076,34578570189.0
NVDA.US,2024-01-25,623.5,627.19,608.5,616.17,48277684,29886375959.0
NVDA.US,2024-01-26,609.6,617.83,605.73,610.31,39030859,23867997157.0
NVDA.US,2024-01-29,612.32,624.89,609.07,624.65,34873298,21574204502.0
NVDA.US,2024-01-30,629.0,634.93,622.6,627.74,41073530,25818632752.0
NVDA.US,2024-01-31,614.4,622.69,607.0,615.27,45379487,27913264972.0
NVDA.US,2024-02-01,621.0,631.91,616.5,630.27,36914579,23061179999.0
NVDA.US,2024-02-02,639.74,666.0,636.9,661.6,47657765,31264844828.0
NVDA.US,2024-02-05,682.25,694.97,672.05,693.32,68007801,46694598218.0
NVDA.US,2024-02-06,696.3,697.54,663.0,682.23,68311136,46347352716.0
NVDA.US,2024-02-07,683.19,702.2,676.0,700.99,49557455,34326764232.0
NVDA.US,2024-02-08,700.74,707.94,694.55,696.41,41442211,29047077613.0
NVDA.US,2024-02-09,705.33,721.85,702.12,721.33,43663689,31200562221.0
NVDA.US,2024-02-12,726.0,746.11,712.5,722.48,61371018,44727826142.0
NVDA.US,2024-02-13,704.0,734.5,696.2,721.28,60258015,43365874162.0
NVDA.US,2024-02-14,732.02,742.36,719.38,739.0,50491742,36983253469.0
NVDA.US,2024-02-15,738.69,739.75,724.0,726.58,42012181,30681234798.0
NVDA.US,2024-02-16,741.0,744.02,725.01,726.13,49532662,36370936661.0
NVDA.US,2024-02-20,719.47,719.56,677.34,694.52,70483310,48671378170.0
NVDA.US,2024-02-21,680.06,688.88,662.48,674.72,69029813,47182539886.0
NVDA.US,2024-02-22,750.25,785.75,742.2,785.38,86509974,66858110414.0
NVDA.US,2024-02-23,807.9,823.94,775.7,788.17,82938837,66264397613.0
NVDA.US,2024-02-26,797.0,806.46,785.05,790.92,50397273,40095259031.0
NVDA.US,2024-02-27,793.81,794.8,771.62,787.01,39170524,30852889884.0
NVDA.US,2024-02-28,776.2,789.33,771.25,776.63,39311040,30646038250.0
NVDA.US,2024-02-29,790.94,799.9,783.5,791.12,50728898,40205911653.0
NVDA.US,2024-03-01,800.0,823.0,794.35,822.79,47913510,38986376108.0
NVDA.US,2024-03-04,841.3,876.95,837.19,852.37,61561645,52771306181.0
NVDA.US,2024-03-05,852.7,860.97,834.17,859.64,52063930,44245697188.0
NVDA.US,2024-03-06,880.22,897.24,870.3,887.0,58252030,51525249382.0
NVDA.US,2024-03-07,901.58,927.67,896.02,926.69,60811916,55714139935.0
NVDA.US,2024-03-08,951.379,974.0,865.06,875.28,114226906,104021402593.0
NVDA.US,2024-03-11,864.29,887.97,841.66,857.74,67836412,58780440906.0
NVDA.US,2024-03-12,880.49,919.6,861.501,919.13,66807515,59936578893.0
NVDA.US,2024-03-13,910.55,915.04,884.35,908.88,63571289,57188202194.0
NVDA.US,2024-03-14,895.77,906.46,866.0,879.44,60231816,53053803350.0
NVDA.US,2024-03-15,869.3,895.46,862.57,878.365,64208616,56658312077.0
NVDA.US,2024-03-18,903.88,924.05,870.85,884.55,66897593,59770102088.0
NVDA.US,2024-03-19,867.0,905.44,850.1,893.98,67217127,59057331975.0
NVDA.US,2024-03-20,897.97,904.1,882.23,903.72,47906279,42819980470.0
NVDA.US,2024-03-21,923.0,926.48,904.05,914.35,48037231,44056357083.0
NVDA.US,2024-03-22,911.41,947.78,908.34,942.89,58671936,54868880676.0
NVDA.US,2024-03-25,939.41,967.66,935.1,950.02,55213608,52700342698.0
NVDA.US,2024-03-26,958.51,963.75,925.02,925.61,51364758,48515331564.0
NVDA.US,2024-03-27,931.12,932.4,891.23,902.5,58606723,52936168090.0
NVDA.US,2024-03-28,900.0,913.0,891.93,903.56,43521227,39386864917.0
NVDA.US,2024-04-01,902.99,922.25,892.04,903.63,45244149,40952405243.0
NVDA.US,2024-04-02,884.48,900.94,876.2,894.52,43306355,38525726884.0
NVDA.US,2024-04-03,884.84,903.74,884.0,889.64,37006655,33137733289.0
NVDA.US,2024-04-04,904.06,906.34,858.8,859.05,43496492,38429115043.0
NVDA.US,2024-04-05,868.66,884.81,859.26,880.08,39967846,35005509750.0
NVDA.US,2024-04-08,887.0,888.3,867.32,871.33,28322000,24761289839.0
NVDA.US,2024-04-09,874.42,876.35,830.22,853.54,50354735,42709611852.0
NVDA.US,2024-04-10,839.26,874.0,837.09,870.39,43192853,37307369824.0
NVDA.US,2024-04-11,874.2,907.39,869.26,906.16,43163727,38458091298.0
NVDA.US,2024-04-12,896.99,901.75,875.3,881.86,42680479,37873440500.0
NVDA.US,2024-04-15,890.98,906.13,859.29,860.01,44307695,39044193614.0
NVDA.US,2024-04-16,864.325,881.18,860.639,874.15,37045302,32327509822.0
NVDA.US,2024-04-17,883.4,887.75,839.5,840.35,49539951,42450604294.0
NVDA.US,2024-04-18,849.7,861.9,824.02,846.71,44726034,37911005759.0
NVDA.US,2024-04-19,831.5,843.24,756.06,762.0,87519800,69697834116.0
NVDA.US,2024-04-22,781.04,800.73,764.0,795.18,59634051,46877076049.0
NVDA.US,2024-04-23,807.69,827.69,802.64,824.23,43855937,35929288246.0
NVDA.US,2024-04-24,839.5,840.82,791.83,796.77,51220753,41654349876.0
NVDA.US,2024-04-25,788.68,833.23,782.23,826.32,42464073,34702736876.0
NVDA.US,2024-04-26,838.18,883.309,833.87,877.35,55101078,47737382235.0
NVDA.US,2024-04-29,875.95,879.92,852.66,877.57,38897076,33862296004.0
NVDA.US,2024-04-30,872.4,888.19,863.0,864.02,36370870,31721378479.0
NVDA.US,2024-05-01,850.77,860.0,812.546,830.41,55986317,46774993629.0
NVDA.US,2024-05-02,844.49,862.37,832.0,858.17,37789754,32117972001.0
NVDA.US,2024-05-03,877.89,892.81,870.4,887.89,39834072,35189232774.0
NVDA.US,2024-05-06,893.9,922.2,890.55,921.4,37620255,34369427863.0
NVDA.US,2024-05-07,910.98,917.81,890.11,905.54,43734161,39609338960.0
NVDA.US,2024-05-08,894.825,911.94,894.2,904.12,32572102,29417331512.0
NVDA.US,2024-05-09,905.29,910.72,882.31,887.47,37801268,33680531092.0
